drug	disease	i	y
1	1	1	42
1	1	2	44
1	1	3	36
1	1	4	13
1	1	5	19
1	1	6	22
1	2	1	33
1	2	2	
1	2	3	26
1	2	4	
1	2	5	33
1	2	6	21
1	3	1	31
1	3	2	-3
1	3	3	
1	3	4	25
1	3	5	25
1	3	6	24
2	1	1	28
2	1	2	
2	1	3	23
2	1	4	34
2	1	5	42
2	1	6	13
2	2	1	
2	2	2	34
2	2	3	33
2	2	4	31
2	2	5	
2	2	6	36
2	3	1	3
2	3	2	26
2	3	3	28
2	3	4	32
2	3	5	4
2	3	6	16
3	1	1	
3	1	2	
3	1	3	1
3	1	4	29
3	1	5	
3	1	6	19
3	2	1	
3	2	2	11
3	2	3	9
3	2	4	7
3	2	5	1
3	2	6	-6
3	3	1	21
3	3	2	1
3	3	3	
3	3	4	9
3	3	5	3
3	3	6	
4	1	1	24
4	1	2	
4	1	3	9
4	1	4	22
4	1	5	-2
4	1	6	15
4	2	1	27
4	2	2	12
4	2	3	12
4	2	4	-5
4	2	5	16
4	2	6	15
4	3	1	22
4	3	2	7
4	3	3	25
4	3	4	5
4	3	5	12
4	3	6	
